epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.346,1.27126,2.24006,1.59478,0.66662,0.56434,0.62618,0.36452,1.34814,1.61146,1.62689,0.00332635,0.00332635,0.00332635
2,434.409,1.29168,1.57881,1.60004,0.57626,0.50085,0.52401,0.28223,1.4877,3.60826,1.77994,0.00659375,0.00659375,0.00659375
3,604.165,1.43435,1.85853,1.74025,0.61816,0.23929,0.26868,0.13095,1.78581,10.2875,2.11582,0.00979515,0.00979515,0.00979515
4,761.068,1.51819,2.03709,1.83075,0.42801,0.40387,0.36391,0.2025,1.70495,3.37381,2.05369,0.009703,0.009703,0.009703
5,918.945,1.4554,1.91547,1.765,0.54119,0.39112,0.43347,0.24119,1.54102,2.4221,1.84472,0.009604,0.009604,0.009604
6,1076.2,1.40575,1.80731,1.73169,0.52708,0.47596,0.50132,0.27969,1.49885,2.84836,1.84088,0.009505,0.009505,0.009505
7,1288.55,1.34667,1.72137,1.69047,0.55484,0.51403,0.54493,0.31486,1.42726,2.18535,1.77094,0.009406,0.009406,0.009406
8,1465.81,1.30409,1.6277,1.65472,0.57257,0.5029,0.53421,0.2953,1.52788,2.58601,1.88282,0.009307,0.009307,0.009307
9,1635.04,1.29385,1.59401,1.64102,0.65428,0.52986,0.59149,0.35733,1.40602,1.91058,1.74537,0.009208,0.009208,0.009208
10,1803.94,1.26733,1.5113,1.60853,0.6672,0.54638,0.61469,0.36099,1.36742,2.17467,1.69558,0.009109,0.009109,0.009109
11,1962.46,1.24226,1.47316,1.59311,0.69464,0.61163,0.66643,0.38917,1.38379,1.70745,1.71395,0.00901,0.00901,0.00901
12,2117.76,1.23023,1.44949,1.58693,0.72076,0.59424,0.68318,0.41297,1.3502,1.64986,1.70996,0.008911,0.008911,0.008911
13,2272.58,1.2087,1.38675,1.56008,0.70642,0.55239,0.64577,0.39064,1.3575,1.9356,1.64339,0.008812,0.008812,0.008812
14,2427.5,1.18427,1.35807,1.53714,0.74752,0.66823,0.73656,0.45097,1.28167,1.57267,1.58418,0.008713,0.008713,0.008713
15,2582.04,1.17677,1.33871,1.52955,0.7932,0.6398,0.742,0.45254,1.2951,1.27012,1.57122,0.008614,0.008614,0.008614
16,2745.43,1.15817,1.30238,1.5057,0.77491,0.6769,0.76094,0.47109,1.24393,1.67216,1.52211,0.008515,0.008515,0.008515
17,2937.84,1.15968,1.29079,1.51113,0.7296,0.64073,0.71437,0.44879,1.20216,1.28334,1.50422,0.008416,0.008416,0.008416
18,3139.02,1.13115,1.25375,1.48607,0.8335,0.65152,0.76747,0.49052,1.22039,1.65251,1.53784,0.008317,0.008317,0.008317
19,3348.55,1.13513,1.24711,1.48864,0.82157,0.66683,0.77745,0.49924,1.14738,1.34494,1.46441,0.008218,0.008218,0.008218
20,3564.36,1.11371,1.22008,1.47383,0.79899,0.7035,0.80049,0.51096,1.17522,1.18708,1.49232,0.008119,0.008119,0.008119
21,3771.88,1.10108,1.19452,1.46351,0.8117,0.7094,0.80083,0.52213,1.16449,1.39235,1.46721,0.00802,0.00802,0.00802
22,3962.87,1.09511,1.17518,1.45514,0.82246,0.72109,0.80912,0.52162,1.15388,1.53781,1.46179,0.007921,0.007921,0.007921
23,4134.49,1.09019,1.17959,1.45829,0.81816,0.70639,0.78527,0.52033,1.1426,1.14032,1.45068,0.007822,0.007822,0.007822
24,4302.03,1.0832,1.15127,1.45028,0.83864,0.69172,0.80029,0.53205,1.12248,1.22275,1.42514,0.007723,0.007723,0.007723
25,4509.3,1.0781,1.14271,1.44647,0.82018,0.70619,0.79537,0.53231,1.12201,1.05954,1.44404,0.007624,0.007624,0.007624
